route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
R6,178282414385674,14385674, ,10633,0, , 
RE4,178282914385678,14385678, ,2418,0, , 
R28,178465514387025,14387025, ,2916,0, , 
S7,178467714387041,14387041, ,24756,0, , 
R7,178467814387042,14387042, ,10723,0, , 
R7,178468114387044,14387044, ,10717,0, , 
RE5,178468514387048,14387048, ,2528,0, , 
S9,178471014387063,14387063, ,24979,0, , 
R34,178471814387067,14387067, ,10452,0, , 
RE8,178473614387078,14387078, ,2876,0, , 
S8,178392114388638,14388638, ,24869,0, , 
R14,178392314388640,14388640, ,25886,0, , 
S11,178393914388647,14388647, ,25033,0, , 
S50,178394914388653,14388653, ,25586,0, , 
S13,178409914388740,14388740, ,24362,0, , 
S5,178411314388752,14388752, ,24556,0, , 
RE80,178411814388756,14388756, ,25531,0, , 
S13,178414214388771,14388771, ,24331,0, , 
R1,178415514388781,14388781, ,10132,0, , 
XP2,178286014385705,14385705, ,2922,0, , 
S8,178286614385711,14385711, ,24846,0, , 
R37,178286914385714,14385714, ,10783,0, , 
S50,178289514385736,14385736, ,25564,0, , 
R21,178290214385742,14385742, ,25355,0, , 
RE80,178478614387093,14387093, ,25532,0, , 
S8,178478914387096,14387096, ,24867,0, , 
R5,178494814387198,14387198, ,10537,0, , 
R14,178495614387206,14387206, ,25815,0, , 
S13,178420414388810,14388810, ,24368,0, , 
R14,178420814388811,14388811, ,25859,0, , 
S5,178421014388812,14388812, ,24552,0, , 
RE4,178424514388838,14388838, ,2439,0, , 
R13,178425014388843,14388843, ,10330,0, , 
R8,178291814385756,14385756, ,10828,0, , 
R36,178291914385757,14385757, ,10684,0, , 
R35,178292914385765,14385765, ,10586,0, , 
R28,178294614385780,14385780, ,2933,0, , 
S1,178295414385788,14385788, ,24115,0, , 
R13,178296214385798,14385798, ,10319,0, , 
R11,178498414387231,14387231, ,10168,0, , 
R8,178498514387235,14387235, ,10804,0, , 
R23,178501714387255,14387255, ,10245,0, , 
R36,178502514387262,14387262, ,10666,0, , 
R31,178504414387279,14387279, ,10048,0, , 
S10,178505214387283,14387283, ,25171,0, , 
S6,178505514387286,14387286, ,24645,0, , 
S1,178433014388878,14388878, ,24177,0, , 
RE8,178435414388887,14388887, ,2818,0, , 
S11,178436214388893,14388893, ,25029,0, , 
S11,178436314388894,14388894, ,25040,0, , 
S50,178438114388901,14388901, ,25585,0, , 
RE13,178298514385812,14385812, ,2373,0, , 
R38,178298814385814,14385814, ,10879,0, , 
R38,178299714385819,14385819, ,10871,0, , 
R31,178301514385830,14385830, ,10074,0, , 
S7,178306914385856,14385856, ,24737,0, , 
R6,178506914387300,14387300, ,10621,0, , 
R1,178507914387306,14387306, ,10121,0, , 
S7,178508314387310,14387310, ,24722,0, , 
R23,178508414387311,14387311, ,10230,0, , 
R12,178509314387320,14387320, ,10296,0, , 
RE5,178171214387368,14387368, ,2556,0, , 
R7,178171314387369,14387369, ,10727,0, , 
RE5,178171614387370,14387370, ,2581,0, , 
RE11,178173414387378,14387378, ,2178,0, , 
R13,178176314387388,14387388, ,10331,0, , 
RE5,178176414387389,14387389, ,2541,0, , 
S1,178176914387393,14387393, ,24160,0, , 
S6,178455314388993,14388993, ,24676,0, , 
R31,178456614389003,14389003, ,10037,0, , 
S5,178458014389011,14389011, ,24569,0, , 
R2,178458114389012,14389012, ,22647,0, , 
XP2,178460614389032,14389032, ,2931,0, , 
R39,178461114389036,14389036, ,10793,0, , 
R14,178462414389043,14389043, ,25835,0, , 
R14,178325514385988,14385988, ,25865,0, , 
S10,178326214385994,14385994, ,25155,0, , 
R11,178326314385995,14385995, ,10163,0, , 
R28,178327014386001,14386001, ,2952,0, , 
R31,178328514386011,14386011, ,10049,0, , 
R28,178328714386016,14386016, ,2944,0, , 
S6,178329414386022,14386022, ,24629,0, , 
R40,178329714386025,14386025, ,10008,0, , 
R35,178330814386035,14386035, ,10581,0, , 
S6,178331114386038,14386038, ,24678,0, , 
S8,178182114387406,14387406, ,24861,0, , 
R6,178200614387511,14387511, ,10628,0, , 
XP2,178464214389058,14389058, ,2959,0, , 
S6,178466414389072,14389072, ,24650,0, , 
R13,178468014389080,14389080, ,10333,0, , 
RE11,178468914389088,14389088, ,2161,0, , 
R38,178471614389100,14389100, ,10880,0, , 
R38,178472014389103,14389103, ,10872,0, , 
RE5,178473714389107,14389107, ,2525,0, , 
S6,178332414386053,14386053, ,24677,0, , 
RE80,178333814386061,14386061, ,25511,0, , 
R21,178335814386078,14386078, ,25333,0, , 
R5,178336014386080,14386080, ,10536,0, , 
S13,178336214386082,14386082, ,24354,0, , 
R31,178336814386088,14386088, ,10033,0, , 
S13,178337614386094,14386094, ,24347,0, , 
R7,178206714387551,14387551, ,10718,0, , 
S30,178206914387553,14387553, ,25319,0, , 
S50,178207014387554,14387554, ,25591,0, , 
R2,178207614387560,14387560, ,22671,0, , 
S6,178209414387569,14387569, ,24682,0, , 
RE2,178209514387570,14387570, ,2236,0, , 
R7,178211114387580,14387580, ,10722,0, , 
S8,178212814387590,14387590, ,24817,0, , 
RE11,178214614387603,14387603, ,2162,0, , 
RE11,178214814387605,14387605, ,2186,0, , 
R14,178494714389211,14389211, ,25847,0, , 
R14,178495614389220,14389220, ,25815,0, , 
RE2,178497214389228,14389228, ,2214,0, , 
R28,178498814389235,14389235, ,2953,0, , 
XP2,178499414389240,14389240, ,2934,0, , 
R38,178342014386131,14386131, ,10856,0, , 
R34,178342114386132,14386132, ,10471,0, , 
S9,178342714386136,14386136, ,24929,0, , 
R4,178344514386148,14386148, ,10936,0, , 
RE5,178345814386160,14386160, ,2516,0, , 
RE80,178221314387624,14387624, ,25514,0, , 
RE8,178224714387631,14387631, ,2836,0, , 
RE8,178224814387632,14387632, ,2820,0, , 
S50,178240514387728,14387728, ,25561,0, , 
S13,178240814387729,14387729, ,24361,0, , 
R6,178242014387737,14387737, ,10638,0, , 
S10,178245114387762,14387762, ,25181,0, , 
S6,178505514389280,14389280, ,24645,0, , 
R37,178505614389281,14389281, ,10770,0, , 
XP2,178509114389305,14389305, ,2943,0, , 
S8,178350114386183,14386183, ,24821,0, , 
RE13,178351414386194,14386194, ,2356,0, , 
RE13,178351614386196,14386196, ,2354,0, , 
S7,178352314386202,14386202, ,24773,0, , 
S50,178353014386205,14386205, ,25567,0, , 
R11,178368714386315,14386315, ,10173,0, , 
S50,178369314386319,14386319, ,25590,0, , 
R2,178369614386321,14386321, ,22642,0, , 
R28,178369714386322,14386322, ,2941,0, , 
R6,178370014386325,14386325, ,10625,0, , 
R28,178370814386333,14386333, ,2940,0, , 
S13,178247114387776,14387776, ,24348,0, , 
R8,178247514387780,14387780, ,10819,0, , 
R37,178248914387791,14387791, ,10775,0, , 
R21,178250514387802,14387802, ,25356,0, , 
R35,178252514387817,14387817, ,10582,0, , 
S5,178503814384771,14384771, ,24526,0, , 
R11,178505114384782,14384782, ,10180,0, , 
S10,178505214384783,14384783, ,25171,0, , 
S6,178505514384786,14384786, ,24645,0, , 
S5,178505914384789,14384789, ,24549,0, , 
S13,178507014384800,14384800, ,24336,0, , 
XP2,178508514384812,14384812, ,2954,0, , 
R1,178373414386356,14386356, ,10129,0, , 
RE2,178375214386370,14386370, ,2242,0, , 
S5,178376814386381,14386381, ,24521,0, , 
R1,178377414386385,14386385, ,10110,0, , 
R38,178256914387842,14387842, ,10858,0, , 
RE5,178260314387856,14387856, ,2545,0, , 
S1,178261414387862,14387862, ,24153,0, , 
S1,178261914387863,14387863, ,24169,0, , 
RE80,178263514387866,14387866, ,25510,0, , 
R6,178282414387981,14387981, ,10633,0, , 
S2,178509814384823,14384823, ,24236,0, , 
R13,178176314384911,14384911, ,10331,0, , 
RE5,178176514384913,14384913, ,2557,0, , 
S1,178178314384920,14384920, ,24122,0, , 
S1,178178814384922,14384922, ,24146,0, , 
R8,178378614386395,14386395, ,10842,0, , 
S30,178378714386396,14386396, ,25352,0, , 
R35,178379314386401,14386401, ,10575,0, , 
S7,178381714386418,14386418, ,24753,0, , 
RE6,178382714386426,14386426, ,2625,0, , 
R4,178384814386444,14386444, ,10915,0, , 
R38,178385314386447,14386447, ,10876,0, , 
S40,178386414386455,14386455, ,25406,0, , 
R28,178288514388023,14388023, ,2960,0, , 
R7,178289214388028,14388028, ,10730,0, , 
R21,178290214388035,14388035, ,25355,0, , 
S13,178290514388037,14388037, ,24322,0, , 
RE2,178291014388042,14388042, ,2231,0, , 
S8,178182114384939,14384939, ,24861,0, , 
RE80,178182214384940,14384940, ,25530,0, , 
S8,178182314384941,14384941, ,24819,0, , 
RE8,178182614384944,14384944, ,2838,0, , 
S7,178182814384945,14384945, ,24734,0, , 
R1,178200814385078,14385078, ,10134,0, , 
R31,178202314385092,14385092, ,10046,0, , 
R13,178387514386463,14386463, ,10309,0, , 
